Date,Predicted
2017-04-13,41912.87
2017-04-14,41926.48
2017-04-17,41940.67
2017-04-18,41955.32
2017-04-19,41970.33
2017-04-20,41985.62
2017-04-21,42001.13
2017-04-24,42016.81
2017-04-25,42032.62
2017-04-26,42048.55
2017-04-27,42064.55
2017-04-28,42080.62
2017-05-02,42096.75
2017-05-04,42112.91
2017-05-08,42129.10
2017-05-10,42145.32
2017-05-11,42161.56
2017-05-12,42177.81
2017-05-15,42194.07
2017-05-16,42210.35
2017-05-17,42226.63
2017-05-18,42242.92
2017-05-19,42259.21
2017-05-22,42275.50
2017-05-23,42291.80
2017-05-24,42308.10
2017-05-25,42324.40
2017-05-26,42340.70
2017-05-29,42357.01
2017-05-30,42373.31
2017-05-31,42389.61
2017-06-01,42405.92
2017-06-02,42422.23
2017-06-05,42438.53
2017-06-07,42454.84
2017-06-08,42471.15
2017-06-09,42487.45
2017-06-12,42503.76
2017-06-13,42520.07
2017-06-14,42536.37
2017-06-15,42552.68
2017-06-16,42568.99
2017-06-19,42585.29
2017-06-20,42601.60
2017-06-21,42617.91
2017-06-22,42634.22
2017-06-23,42650.52
2017-06-26,42666.83
2017-06-27,42683.14
2017-06-28,42699.45
2017-06-29,42715.75
2017-06-30,42732.06
2017-07-03,42748.37
2017-07-04,42764.68
2017-07-05,42780.98
2017-07-06,42797.29
2017-07-07,42813.60
2017-07-10,42829.90
2017-07-11,42846.21
2017-07-12,42862.52
2017-07-13,42878.83
2017-07-14,42895.13
2017-07-17,42911.44
2017-07-18,42927.75
2017-07-19,42944.06
2017-07-20,42960.36
2017-07-21,42976.67
2017-07-24,42992.98
2017-07-25,43009.29
2017-07-26,43025.59
2017-07-27,43041.90
2017-07-28,43058.21
2017-07-31,43074.52
2017-08-01,43090.82
2017-08-02,43107.13
2017-08-03,43123.44
2017-08-04,43139.74
2017-08-07,43156.05
2017-08-08,43172.36
2017-08-09,43188.67
2017-08-10,43204.97
2017-08-11,43221.28
2017-08-14,43237.59
2017-08-16,43253.90
2017-08-17,43270.20
2017-08-18,43286.51
2017-08-21,43302.82
2017-08-22,43319.13
2017-08-23,43335.43
2017-08-24,43351.74
2017-08-25,43368.05
2017-08-28,43384.35
2017-08-29,43400.66
2017-08-30,43416.97
2017-08-31,43433.28
2017-09-01,43449.58
2017-09-04,43465.89
2017-09-05,43482.20
2017-09-06,43498.51
2017-09-07,43514.81
2017-09-08,43531.12
2017-09-11,43547.43
2017-09-12,43563.74
2017-09-13,43580.04
2017-09-14,43596.35
2017-09-15,43612.66
2017-09-18,43628.97
2017-09-19,43645.27
2017-09-20,43661.58
2017-09-21,43677.89
2017-09-22,43694.19
2017-09-25,43710.50
2017-09-26,43726.81
2017-09-27,43743.12
2017-09-28,43759.42
2017-09-29,43775.73
2017-10-10,43792.04
2017-10-11,43808.35
2017-10-12,43824.65
2017-10-13,43840.96
2017-10-16,43857.27
2017-10-17,43873.58
2017-10-18,43889.88
2017-10-19,43906.19
2017-10-20,43922.50
2017-10-23,43938.80
2017-10-24,43955.11
2017-10-25,43971.42
2017-10-26,43987.73
2017-10-27,44004.03
2017-10-30,44020.34
2017-10-31,44036.65
2017-11-01,44052.96
2017-11-02,44069.26
2017-11-03,44085.57
2017-11-06,44101.88
2017-11-07,44118.19
2017-11-08,44134.49
2017-11-09,44150.80
2017-11-10,44167.11
2017-11-13,44183.42
2017-11-14,44199.72
2017-11-15,44216.03
2017-11-16,44232.34
2017-11-17,44248.64
2017-11-20,44264.95
2017-11-21,44281.26
2017-11-22,44297.57
2017-11-23,44313.87
2017-11-24,44330.18
2017-11-27,44346.49
2017-11-28,44362.80
2017-11-29,44379.10
2017-11-30,44395.41
2017-12-01,44411.72
2017-12-04,44428.03
2017-12-05,44444.33
2017-12-06,44460.64
2017-12-07,44476.95
2017-12-08,44493.25
2017-12-11,44509.56
2017-12-12,44525.87
2017-12-13,44542.18
2017-12-14,44558.48
2017-12-15,44574.79
2017-12-18,44591.10
2017-12-19,44607.41
2017-12-20,44623.71
2017-12-21,44640.02
2017-12-22,44656.33
2017-12-26,44672.64
2017-12-27,44688.94
2017-12-28,44705.25
2018-01-02,44721.56
2018-01-03,44737.87
2018-01-04,44754.17
2018-01-05,44770.48
2018-01-08,44786.79
2018-01-09,44803.09
2018-01-10,44819.40
2018-01-11,44835.71
2018-01-12,44852.02
2018-01-15,44868.32
2018-01-16,44884.63
2018-01-17,44900.94
2018-01-18,44917.25
2018-01-19,44933.55
2018-01-22,44949.86
2018-01-23,44966.17
2018-01-24,44982.48
2018-01-25,44998.78
2018-01-26,45015.09
2018-01-29,45031.40
2018-01-30,45047.70
2018-01-31,45064.01
2018-02-01,45080.32
2018-02-02,45096.63
2018-02-05,45112.93
2018-02-06,45129.24
2018-02-07,45145.55
2018-02-08,45161.86
2018-02-09,45178.16
2018-02-12,45194.47
2018-02-13,45210.78
2018-02-14,45227.09
2018-02-19,45243.39
2018-02-20,45259.70
2018-02-21,45276.01
2018-02-22,45292.32
2018-02-23,45308.62
2018-02-26,45324.93
2018-02-27,45341.24
2018-02-28,45357.54
2018-03-02,45373.85
2018-03-05,45390.16
2018-03-06,45406.47
2018-03-07,45422.77
2018-03-08,45439.08
2018-03-09,45455.39
2018-03-12,45471.70
2018-03-13,45488.00
2018-03-14,45504.31
2018-03-15,45520.62
2018-03-16,45536.93
2018-03-19,45553.23
2018-03-20,45569.54
2018-03-21,45585.85
2018-03-22,45602.15
2018-03-23,45618.46
2018-03-26,45634.77
2018-03-27,45651.08
2018-03-28,45667.38
2018-03-29,45683.69
2018-03-30,45700.00
2018-04-02,45716.31
2018-04-03,45732.61
2018-04-04,45748.92
2018-04-05,45765.23
2018-04-06,45781.54
2018-04-09,45797.84
2018-04-10,45814.15
2018-04-11,45830.46
2018-04-12,45846.77
2018-04-13,45863.07
2018-04-16,45879.38
2018-04-17,45895.69
2018-04-18,45911.99
2018-04-19,45928.30
2018-04-20,45944.61
2018-04-23,45960.92
2018-04-24,45977.22
2018-04-25,45993.53
2018-04-26,46009.84
2018-04-27,46026.15
2018-04-30,46042.45
2018-05-02,46058.76
2018-05-03,46075.07
2018-05-04,46091.38
2018-05-08,46107.68
2018-05-09,46123.99
2018-05-10,46140.30
2018-05-11,46156.60
2018-05-14,46172.91
2018-05-15,46189.22
2018-05-16,46205.53
2018-05-17,46221.83
2018-05-18,46238.14
2018-05-21,46254.45
2018-05-23,46270.76
2018-05-24,46287.06
2018-05-25,46303.37
2018-05-28,46319.68
2018-05-29,46335.99
2018-05-30,46352.29
2018-05-31,46368.60
2018-06-01,46384.91
2018-06-04,46401.22
2018-06-05,46417.52
2018-06-07,46433.83
2018-06-08,46450.14
2018-06-11,46466.44
2018-06-12,46482.75
2018-06-14,46499.06
2018-06-15,46515.37
2018-06-18,46531.67
2018-06-19,46547.98
2018-06-20,46564.29
2018-06-21,46580.60
2018-06-22,46596.90
2018-06-25,46613.21
2018-06-26,46629.52
2018-06-27,46645.83
2018-06-28,46662.13
2018-06-29,46678.44
2018-07-02,46694.75
2018-07-03,46711.05
2018-07-04,46727.36
2018-07-05,46743.67
2018-07-06,46759.98
2018-07-09,46776.28
2018-07-10,46792.59
2018-07-11,46808.90
2018-07-12,46825.21
2018-07-13,46841.51
2018-07-16,46857.82
2018-07-17,46874.13
2018-07-18,46890.44
2018-07-19,46906.74
2018-07-20,46923.05
2018-07-23,46939.36
2018-07-24,46955.67
2018-07-25,46971.97
2018-07-26,46988.28
2018-07-27,47004.59
2018-07-30,47020.89
2018-07-31,47037.20
2018-08-01,47053.51
2018-08-02,47069.82
2018-08-03,47086.12
2018-08-06,47102.43
2018-08-07,47118.74
2018-08-08,47135.05
2018-08-09,47151.35
2018-08-10,47167.66
2018-08-13,47183.97
2018-08-14,47200.28
2018-08-16,47216.58
2018-08-17,47232.89
2018-08-20,47249.20
2018-08-21,47265.50
2018-08-22,47281.81
2018-08-23,47298.12
2018-08-24,47314.43
2018-08-27,47330.73
2018-08-28,47347.04
2018-08-29,47363.35
2018-08-30,47379.66
2018-08-31,47395.96
2018-09-03,47412.27
2018-09-04,47428.58
2018-09-05,47444.89
2018-09-06,47461.19
2018-09-07,47477.50
2018-09-10,47493.81
2018-09-11,47510.12
2018-09-12,47526.42
2018-09-13,47542.73
2018-09-14,47559.04
2018-09-17,47575.34
2018-09-18,47591.65
2018-09-19,47607.96
2018-09-20,47624.27
2018-09-21,47640.57
2018-09-27,47656.88
2018-09-28,47673.19
2018-10-01,47689.50
2018-10-02,47705.80
2018-10-04,47722.11
2018-10-05,47738.42
2018-10-08,47754.73
2018-10-10,47771.03
2018-10-11,47787.34
2018-10-12,47803.65
2018-10-15,47819.95
2018-10-16,47836.26
2018-10-17,47852.57
2018-10-18,47868.88
2018-10-19,47885.18
2018-10-22,47901.49
2018-10-23,47917.80
2018-10-24,47934.11
2018-10-25,47950.41
2018-10-26,47966.72
2018-10-29,47983.03
2018-10-30,47999.34
2018-10-31,48015.64
2018-11-01,48031.95
2018-11-02,48048.26
2018-11-05,48064.57
2018-11-06,48080.87
2018-11-07,48097.18
2018-11-08,48113.49
2018-11-09,48129.79
2018-11-12,48146.10
2018-11-13,48162.41
2018-11-14,48178.72
2018-11-15,48195.02
2018-11-16,48211.33
2018-11-19,48227.64
2018-11-20,48243.95
2018-11-21,48260.25
2018-11-22,48276.56
2018-11-23,48292.87
2018-11-26,48309.18
2018-11-27,48325.48
2018-11-28,48341.79
2018-11-29,48358.10
2018-11-30,48374.40
