Date,Predicted
2017-04-13,41954.13
2017-04-14,41959.74
2017-04-17,41964.49
2017-04-18,41974.66
2017-04-19,41988.45
2017-04-20,42003.89
2017-04-21,42019.96
2017-04-24,42036.22
2017-04-25,42052.53
2017-04-26,42068.85
2017-04-27,42085.17
2017-04-28,42101.48
2017-05-02,42117.80
2017-05-04,42134.11
2017-05-08,42150.43
2017-05-10,42166.74
2017-05-11,42183.06
2017-05-12,42199.37
2017-05-15,42215.69
2017-05-16,42232.00
2017-05-17,42248.31
2017-05-18,42264.63
2017-05-19,42280.94
2017-05-22,42297.26
2017-05-23,42313.57
2017-05-24,42329.89
2017-05-25,42346.20
2017-05-26,42362.52
2017-05-29,42378.83
2017-05-30,42395.14
2017-05-31,42411.46
2017-06-01,42427.77
2017-06-02,42444.09
2017-06-05,42460.40
2017-06-07,42476.72
2017-06-08,42493.03
2017-06-09,42509.35
2017-06-12,42525.66
2017-06-13,42541.97
2017-06-14,42558.29
2017-06-15,42574.60
2017-06-16,42590.92
2017-06-19,42607.23
2017-06-20,42623.55
2017-06-21,42639.86
2017-06-22,42656.18
2017-06-23,42672.49
2017-06-26,42688.80
2017-06-27,42705.12
2017-06-28,42721.43
2017-06-29,42737.75
2017-06-30,42754.06
2017-07-03,42770.38
2017-07-04,42786.69
2017-07-05,42803.01
2017-07-06,42819.32
2017-07-07,42835.63
2017-07-10,42851.95
2017-07-11,42868.26
2017-07-12,42884.58
2017-07-13,42900.89
2017-07-14,42917.21
2017-07-17,42933.52
2017-07-18,42949.84
2017-07-19,42966.15
2017-07-20,42982.46
2017-07-21,42998.78
2017-07-24,43015.09
2017-07-25,43031.41
2017-07-26,43047.72
2017-07-27,43064.04
2017-07-28,43080.35
2017-07-31,43096.67
2017-08-01,43112.98
2017-08-02,43129.29
2017-08-03,43145.61
2017-08-04,43161.92
2017-08-07,43178.24
2017-08-08,43194.55
2017-08-09,43210.87
2017-08-10,43227.18
2017-08-11,43243.50
2017-08-14,43259.81
2017-08-16,43276.12
2017-08-17,43292.44
2017-08-18,43308.75
2017-08-21,43325.07
2017-08-22,43341.38
2017-08-23,43357.70
2017-08-24,43374.01
2017-08-25,43390.33
2017-08-28,43406.64
2017-08-29,43422.95
2017-08-30,43439.27
2017-08-31,43455.58
2017-09-01,43471.90
2017-09-04,43488.21
2017-09-05,43504.53
2017-09-06,43520.84
2017-09-07,43537.16
2017-09-08,43553.47
2017-09-11,43569.78
2017-09-12,43586.10
2017-09-13,43602.41
2017-09-14,43618.73
2017-09-15,43635.04
2017-09-18,43651.36
2017-09-19,43667.67
